P(fav);avg;Y
0.692175033;2176.69;0
0.681845632;2208.86;1
0.564376021;2241.64;1
0.631367009;2074.33;0
0.606283642;2015;1
0.632822025;2066.43;1
0.582894858;2091.48;0
0.748264311;2089.24;0
0.714518219;2303.14;0
0.633998488;2050.11;0
0.630182189;2253.5;0
0.598154251;2168.16;0
0.530317354;2030.01;0
0.520380001;2011.94;1
0.501873624;2051.98;1
0.795581594;2136.27;1
0.622289493;2157.87;0
0.683851148;2102.25;0
0.583964602;1998.73;1
0.546007621;2134.21;0
0.750877531;2076.17;0
0.572353068;2174.2;1
0.526496709;2208.45;1
0.818713944;2219.98;0
0.671990019;2131.25;1
0.697489285;2206.2;0
0.681119552;2130.42;1
0.614555898;2136.37;0
0.500640558;2159.06;0
0.652123369;1976.99;0
0.592923261;2071.61;0
0.56292106;2317.12;1
0.688544144;2116.54;0
0.609228532;2229.86;1
0.603160683;2040.52;0
0.60962058;2123.08;1
0.695660471;1997.42;0
0.617119564;2173.46;0
0.658298277;2252.76;1
0.707052246;2107.86;0
0.552537115;2148.9;0
0.624216303;2067.42;0
0.654268003;2155.35;1
0.659255219;2047.88;0
0.754461609;2141.94;0
0.799116802;2232.38;0
0.717712537;2168.76;0
0.572057927;2079.72;0
0.553485273;2179.33;0
0.731640486;1999.34;0
0.660196532;2076.67;0
0.732477467;2050.74;1
0.76809736;2153.66;1
0.56108101;2205.04;1
0.597516168;2204.87;1
0.529544336;2249.57;0
0.620649946;2054.73;0
0.659809022;2070.02;0
0.621240468;2086.64;0
0.504740686;2242.8;0
0.611260234;2207.32;0
0.719758442;2159.64;0
0.648029676;2119.26;0
0.560628349;2092.22;0
0.546930619;2112.34;1
0.791429222;2213.99;0
0.740472649;2074.27;0
0.80593732;2212.02;1
0.583076386;2334.26;0
0.717657121;2199.19;0
0.685365238;2164.26;0
0.649393787;2135.45;0
0.591810001;2044.82;1
0.512292274;2049.81;1
0.726380383;2111.05;0
0.699392462;2279.29;0
0.740967272;2028.05;0
0.601750699;2108.45;0
0.538760841;2219.49;0
0.50579103;2188.79;0
0.71284794;2057.81;0
0.652434515;2165.94;0
0.525476623;2184.45;0
0.669644696;2362.15;0
0.669954374;2270.77;1
0.771505337;2173.75;0
0.682307242;2059.5;0
0.667088123;2130.75;0
0.625385346;2040.89;0
0.578866425;2037.5;0
0.590752884;2154.48;0
0.786596009;2148.12;0
0.664441485;2088.94;0
0.621939023;2242.03;0
0.598120725;2108.44;0
0.711380575;2035.18;1
0.512868469;2216.53;0
0.515262322;2293.34;1
0.633658395;2099.03;0
0.778476247;2225.18;0
0.725126171;2168.1;0
0.617246299;2059.24;0
0.601840929;2129.81;1
0.573360259;2185.69;1
0.570417108;2156.14;0
0.561238411;2132.82;0
0.609850758;2117.14;0
0.713665701;2257.97;0
0.509835004;2279.87;0
0.749178858;2243.48;0
0.76489;2087.44;0
0.63614779;2094.7;1
0.639221151;2122.33;1
0.70814987;2121.3;0
0.686578567;1992.73;1
0.773884624;2251.06;0
0.670499383;2222.61;1
0.824203376;2126.74;0
0.547070122;2146;0
0.60782595;2077.35;0
0.540521935;2298.18;1
0.573296609;2067.6;0
0.553103111;2255.7;0
0.504144065;2197.51;0
0.586212728;2142.19;0
0.701642576;2094.58;0
0.671288368;2145.03;0
0.534022938;2098.65;0
0.656474221;2097.87;0
0.772042905;2228.75;0
0.769687363;2216.71;1
0.518863809;2275.47;1
0.718740427;2145.56;0
0.653966872;2069.43;0
0.637671947;2151.14;0
0.583972257;2075.71;1
0.745971502;2300.12;1
0.520613331;2284.14;0
0.589147927;2125.57;1
0.671094797;2059.34;0
0.668901387;2108.31;0
0.520947451;2053.06;1
0.509782446;2216.06;0
